id,Title,Description,Short Description,Price,Images,Variant 1,Variant 2,Variant 3,Category,SubCategory,Tags
Adel_ValPaks_021,Adel 16 - GASTUL DROPSS 20ml for Appendix,"FOR STOMACH ULCERS, APPENDIX AND OTHER GASTROINTESTINAL DISEASES..  . 
 The Adel 1-87 series of homeopathic medicines cover most of the general ailments/health conditions from head to toe. Original German homeopathic products manufactured and packed (sealed) in Germany in ultra modern manufacturing facilities  
  Please consult a Physician before purchasing and do not self medicate.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/qfbzpv4xmbvt9koofs96_b7728cb5-c5b8-4eab-a16d-7c6f56f7af01.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_022,Adel 6 - APO-STRUM DROPS 20ml for Thyroid,"FOR THYROID PROBLEMS.  . 
 The Adel 1-87 series of homeopathic medicines cover most of the general ailments/health conditions from head to toe. Original German homeopathic products manufactured and packed (sealed) in Germany in ultra modern manufacturing facilities  
  Please consult a Physician before purchasing and do not self medicate.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/lieetjymr9ira8pr4wuy_e3fc000b-a336-43e3-8018-e8dc058cbabc.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_023,Adel 87 - APO-INFEKT DROPS 20ml for Bacterial,"For various types of Bacterial and Viral Infections in the Body.  . 
 The Adel 1-87 series of homeopathic medicines cover most of the general ailments/health conditions from head to toe. Original German homeopathic products manufactured and packed (sealed) in Germany in ultra modern manufacturing facilities  
  Please consult a Physician before purchasing and do not self medicate.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/vdedwxtpbhlnl4s0cjx5_d23f6dbc-0604-49c7-a2b9-f9a966973e99.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_024,Adel 20 - PROALLER DROPS 20ml for Allergies,"For Allergies, Severe Itching, Skin Infections and Eczema.  . 
 The Adel 1-87 series of homeopathic medicines cover most of the general ailments/health conditions from head to toe. Original German homeopathic products manufactured and packed (sealed) in Germany in ultra modern manufacturing facilities  
  Please consult a Physician before purchasing and do not self medicate.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/oqiqvlrzldkt8djxlgpf_d4d404c7-de36-463d-af67-8ce68afddf9d.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_025,Adel 21 - PROSCENAT DROPS 20ml for Prostate Enlargement,"FOR PROSTATE ENLARGEMENT, PROSTATITIS AND OTHER RELATED PROBLEMS.  . 
 The Adel 1-87 series of homeopathic medicines cover most of the general ailments/health conditions from head to toe. Original German homeopathic products manufactured and packed (sealed) in Germany in ultra modern manufacturing facilities  
  Please consult a Physician before purchasing and do not self medicate.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/zfdtq9q6z8agocqu1kwy_c87b0fd6-001b-4b81-b998-8e8a208610a7.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_026,Adel 24 - SEPTONSIL DROPS 20ml for Sore Throat,"FOR TONSILLITIS (ACUTE/CHRONIC), SORE THROAT.  . 
 The Adel 1-87 series of homeopathic medicines cover most of the general ailments/health conditions from head to toe. Original German homeopathic products manufactured and packed (sealed) in Germany in ultra modern manufacturing facilities  
  Please consult a Physician before purchasing and do not self medicate.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/hmxdglzzdutffraz62hy_4c691092-96de-4d0d-9b84-60eaf65e3cae.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_027,Adel 23 - RICURA DROPS 20ml for Running Nose,"FOR SINUSITIS, RUNNING NOSE, SNEEZING AND OTHER RELATED PROBLEMS.  . 
 The Adel 1-87 series of homeopathic medicines cover most of the general ailments/health conditions from head to toe. Original German homeopathic products manufactured and packed (sealed) in Germany in ultra modern manufacturing facilities  
  Please consult a Physician before purchasing and do not self medicate.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/j1cisdxbl7hwuh9fd71t_b391a394-6035-4b3f-b650-89e51070fcd5.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_028,Adel 29 - AKUTUR DROPS 20ml for Urinary Tract Infection,"FOR URINARY TRACT INFECTION (U.T.I).  . 
 The Adel 1-87 series of homeopathic medicines cover most of the general ailments/health conditions from head to toe. Original German homeopathic products manufactured and packed (sealed) in Germany in ultra modern manufacturing facilities  
  Please consult a Physician before purchasing and do not self medicate.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/le3b4z7wv9qxrghcsomn_a12aa0aa-5c2d-4402-b321-762e111d0b6e.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_029,Adel 26 - OSS-REGEN DROPS 20ml for Bones,"FOR PROPER HEALING OF BONES, PREVENTION OF DEGENERATIVE BONE AND JOINT DISEASES.  . 
 The Adel 1-87 series of homeopathic medicines cover most of the general ailments/health conditions from head to toe. Original German homeopathic products manufactured and packed (sealed) in Germany in ultra modern manufacturing facilities  
  Please consult a Physician before purchasing and do not self medicate.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/txu34uikennra78phjdy_d5bd1c06-e8fd-4fd1-9f98-d664c7b3abb2.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_030,Adel 19 - LASSITUL DROPS 20ml for Mental,"FOR MENTAL/PHYSICAL TIREDNESS.  . 
 The Adel 1-87 series of homeopathic medicines cover most of the general ailments/health conditions from head to toe. Original German homeopathic products manufactured and packed (sealed) in Germany in ultra modern manufacturing facilities  
  Please consult a Physician before purchasing and do not self medicate.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/ivhnjvfeob1l5i6mkgns_5ad6c6fa-9345-4738-afc3-8994cdad3768.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
